num_threads,vqe_runs,runtime(s)
1,6,231264167
2,6,138075137
3,6,104721480
4,6,104392450
5,6,103898850
6,6,75442401
1,6,229961716
2,6,136516118
3,6,104189461
4,6,104543480
5,6,104244517
6,6,73517499
1,6,230648489
2,6,137661974
3,6,104463063
4,6,104677572
5,6,103497906
6,6,73650335
1,6,230301994
2,6,137719074
3,6,104728909
4,6,104488637
5,6,104571074
6,6,72950677
1,6,230029925
2,6,135758317
3,6,104231065
4,6,104761327
5,6,104003610
6,6,72847311
1,6,230512133
2,6,137566247
3,6,105078670
4,6,104564785
5,6,104430421
6,6,72792065
1,6,230709044
2,6,136908787
3,6,104430730
4,6,104091946
5,6,103727422
6,6,72998193
1,6,230460193
2,6,137261782
3,6,105137912
4,6,104021566
5,6,104158882
6,6,72949613
1,6,229722262
2,6,137711423
3,6,104220767
4,6,103751258
5,6,104453609
6,6,73531751
1,6,230556923
2,6,137167659
3,6,103936892
4,6,104333436
5,6,103681755
6,6,73060330
1,6,230366916
2,6,136982426
3,6,103885057
4,6,104344614
5,6,104680172
6,6,73044969
1,6,229699339
2,6,139871799
3,6,104366171
4,6,104477481
5,6,104519872
6,6,73801755
1,6,230388220
2,6,137187177
3,6,104266046
4,6,104957148
5,6,103823561
6,6,73699171
1,6,230320269
2,6,137535841
3,6,104618391
4,6,104393126
5,6,104219311
6,6,72856287
1,6,230488130
2,6,136700548
3,6,104110308
4,6,105056300
5,6,106371363
6,6,73190472
1,6,230825612
2,6,137283070
3,6,104015862
4,6,104311374
5,6,103867636
6,6,73762281
1,6,229937669
2,6,137472315
3,6,104805311
4,6,104692376
5,6,105128405
6,6,72552121
1,6,230304968
2,6,137526032
3,6,104835895
4,6,103866173
5,6,104516420
6,6,73016224
1,6,232536249
2,6,137180220
3,6,104279275
4,6,104713733
5,6,104194406
6,6,72752382
1,6,230860001
2,6,136004829
3,6,104822013
4,6,81132219
5,6,103827026
6,6,72930576
1,6,230554863
2,6,137610385
3,6,104145023
4,6,104156499
5,6,104256441
6,6,73011567
1,6,230920170
2,6,136926821
3,6,103316769
4,6,103958045
5,6,104307990
6,6,73262469
1,6,230203662
2,6,136512015
3,6,103466499
4,6,104178291
5,6,104314494
6,6,73314782
1,6,229910080
2,6,137624106
3,6,103771687
4,6,105300930
5,6,104036120
6,6,73415285
1,6,230035864
2,6,137264060
3,6,103892450
4,6,104780498
5,6,103798113
6,6,73622773
1,6,232816165
2,6,137855115
3,6,104160741
4,6,104638760
5,6,103819102
6,6,72758196
1,6,230607583
2,6,137151334
3,6,104237538
4,6,105033407
5,6,103843371
6,6,73660378
1,6,230537350
2,6,137234210
3,6,103777768
4,6,104433021
5,6,103922144
6,6,73327156
1,6,230693992
2,6,137665628
3,6,104170433
4,6,106101390
5,6,104531935
6,6,73042173
1,6,230740500
2,6,137447636
3,6,104434219
4,6,103789019
5,6,103772531
6,6,72766849
1,6,230305969
2,6,137420194
3,6,104667638
4,6,105035020
5,6,103741924
6,6,73178086
1,6,238387853
1,1,38594023
1,2,77232160
1,3,115294363
1,4,153451988
1,5,192240179
1,6,230292641
1,1,38286000
1,2,76783356
1,3,114622021
1,4,153310106
1,5,192564146
1,6,230179851
1,1,38188935
1,2,76536973
1,3,115232586
1,4,153427067
1,5,191692585
1,6,230353609
1,1,38084867
1,2,76369298
1,3,115205574
1,4,153374825
1,5,191560769
1,6,229976475
1,1,38308604
1,2,78993910
1,3,115240339
1,4,153232610
1,5,192406318
1,6,230248756
1,1,38230898
1,2,76500656
1,3,115141654
1,4,153103099
1,5,191929855
1,6,229601354
1,1,38404790
1,2,76544175
1,3,115019530
1,4,153534915
1,5,191931036
1,6,230535492
1,1,38254484
1,2,76482623
1,3,114983249
1,4,153793730
1,5,193697908
1,6,229820356
1,1,38403197
1,2,76923754
1,3,114770989
1,4,153383498
1,5,192208672
1,6,230186076
1,1,38344862
1,2,76509467
1,3,115114403
1,4,153684342
1,5,192059035
1,6,230363007
1,1,38122285
1,2,76572796
1,3,115032356
1,4,153780574
1,5,191818969
1,6,229777775
1,1,38190763
1,2,76639960
1,3,115507860
1,4,153308702
1,5,191993410
1,6,230371740
1,1,38218529
1,2,76671552
1,3,115268317
1,4,153601813
1,5,191901553
1,6,230191944
1,1,38531492
1,2,76613378
1,3,115302178
1,4,153668599
1,5,191905338
1,6,230059799
1,1,38260727
1,2,76919510
1,3,115354439
1,4,153426493
1,5,191778548
1,6,230244054
1,1,38617759
1,2,76530057
1,3,115035460
1,4,153334509
1,5,192118669
1,6,230939606
1,1,38322902
1,2,76567984
1,3,115333888
1,4,153372611
1,5,192107720
1,6,230221040
1,1,38409065
1,2,76601335
1,3,115161240
1,4,153907152
1,5,192042203
1,6,230085856
1,1,38591087
1,2,76768771
1,3,115336169
1,4,153571776
1,5,192321983
1,6,230095038
1,1,38704795
1,2,76873471
1,3,115469358
1,4,153763510
1,5,192456028
1,6,230722251
1,1,38375495
1,2,76493535
1,3,115335581
1,4,153482410
1,5,191406151
1,6,230323199
1,1,38306436
1,2,77022843
1,3,115166002
1,4,156163802
1,5,192279973
1,6,230278868
1,1,38377510
1,2,76952835
1,3,115224504
1,4,153927084
1,5,192007861
1,6,230439454
1,1,38442086
1,2,76781473
1,3,115063346
1,4,153246777
1,5,191704565
1,6,230365842
1,1,38441219
1,2,77028536
1,3,115438394
1,4,153859961
1,5,192023216
1,6,230507511
1,1,38478516
1,2,76911930
1,3,115167118
1,4,153669356
1,5,192026079
1,6,231344241
1,1,38482342
1,2,76641284
1,3,115448346
1,4,153557174
1,5,192351552
1,6,230778758
1,1,38266606
1,2,77072833
1,3,115019674
1,4,153682076
1,5,192462322
1,6,230456303
1,1,38376876
1,2,77095413
1,3,115518243
1,4,154733619
1,5,192469672
1,6,230642959
1,1,38503993
1,2,76993164
1,3,115508668
1,4,153960327
1,5,192375354
1,6,230560953
1,1,38518940
1,2,76837960
1,3,115249094
1,4,153794247
1,5,191962316
1,6,232725880
1,1,38949675
