num_threads,vqe_runs,runtime(s)
1,6,231264167
2,6,138075137
3,6,104721480
4,6,104392450
5,6,103898850
6,6,75442401
1,6,229961716
2,6,136516118
3,6,104189461
4,6,104543480
5,6,104244517
6,6,73517499
1,6,230648489
2,6,137661974
3,6,104463063
4,6,104677572
5,6,103497906
6,6,73650335
1,6,230301994
2,6,137719074
3,6,104728909
4,6,104488637
5,6,104571074
6,6,72950677
1,6,230029925
2,6,135758317
3,6,104231065
4,6,104761327
5,6,104003610
6,6,72847311
1,6,230512133
2,6,137566247
3,6,105078670
4,6,104564785
5,6,104430421
6,6,72792065
1,6,230709044
2,6,136908787
3,6,104430730
4,6,104091946
5,6,103727422
6,6,72998193
1,6,230460193
2,6,137261782
3,6,105137912
4,6,104021566
5,6,104158882
6,6,72949613
1,6,229722262
2,6,137711423
3,6,104220767
4,6,103751258
5,6,104453609
6,6,73531751
1,6,230556923
2,6,137167659
3,6,103936892
4,6,104333436
5,6,103681755
6,6,73060330
1,6,230366916
2,6,136982426
3,6,103885057
4,6,104344614
5,6,104680172
6,6,73044969
1,6,229699339
2,6,139871799
3,6,104366171
4,6,104477481
5,6,104519872
6,6,73801755
1,6,230388220
2,6,137187177
3,6,104266046
4,6,104957148
5,6,103823561
6,6,73699171
1,6,230320269
2,6,137535841
3,6,104618391
4,6,104393126
5,6,104219311
6,6,72856287
1,6,230488130
2,6,136700548
3,6,104110308
4,6,105056300
5,6,106371363
6,6,73190472
1,6,230825612
2,6,137283070
3,6,104015862
4,6,104311374
5,6,103867636
6,6,73762281
1,6,229937669
2,6,137472315
3,6,104805311
4,6,104692376
5,6,105128405
6,6,72552121
1,6,230304968
2,6,137526032
3,6,104835895
4,6,103866173
5,6,104516420
6,6,73016224
1,6,232536249
2,6,137180220
3,6,104279275
4,6,104713733
5,6,104194406
6,6,72752382
1,6,230860001
2,6,136004829
3,6,104822013
4,6,81132219
5,6,103827026
6,6,72930576
1,6,230554863
2,6,137610385
3,6,104145023
4,6,104156499
5,6,104256441
6,6,73011567
1,6,230920170
2,6,136926821
3,6,103316769
4,6,103958045
5,6,104307990
6,6,73262469
1,6,230203662
2,6,136512015
3,6,103466499
4,6,104178291
5,6,104314494
6,6,73314782
1,6,229910080
2,6,137624106
3,6,103771687
4,6,105300930
5,6,104036120
6,6,73415285
1,6,230035864
2,6,137264060
3,6,103892450
4,6,104780498
5,6,103798113
6,6,73622773
1,6,232816165
2,6,137855115
3,6,104160741
4,6,104638760
5,6,103819102
6,6,72758196
1,6,230607583
2,6,137151334
3,6,104237538
4,6,105033407
5,6,103843371
6,6,73660378
1,6,230537350
2,6,137234210
3,6,103777768
4,6,104433021
5,6,103922144
6,6,73327156
1,6,230693992
2,6,137665628
3,6,104170433
4,6,106101390
5,6,104531935
6,6,73042173
1,6,230740500
2,6,137447636
3,6,104434219
4,6,103789019
5,6,103772531
6,6,72766849
1,6,230305969
2,6,137420194
3,6,104667638
4,6,105035020
5,6,103741924
6,6,73178086
1,6,238387853
2,6,139138287
3,6,107519468
4,6,106740144
5,6,104958062
6,6,73321555
1,6,234189905
2,6,138028898
3,6,105341080
4,6,105418163
5,6,105780901
6,6,74525545
1,6,232733701
2,6,137644449
3,6,105966846
4,6,105378488
5,6,104922054
6,6,73967211
1,6,232056923
2,6,143522401
3,6,106136512
4,6,105786603
5,6,105241195
6,6,74107938
1,6,245257432
2,6,141538909
3,6,108295563
4,6,106385972
5,6,105745564
6,6,78039131
1,6,234948397
2,6,142959063
