num_threads,vqe_runs,runtime(us)
1,1,38168758
1,1,38457504
2,2,45567190
3,3,51701108
4,4,58987378
5,5,66007157
6,6,74026284
1,1,38385292
2,2,45543228
3,3,51569633
4,4,59141068
5,5,67254916
6,6,73335124
1,1,38441368
2,2,45428585
3,3,52847484
4,4,59175044
5,5,66456176
6,6,73650255
1,1,38392313
2,2,45636182
3,3,52448130
4,4,58856084
5,5,66177406
6,6,73890802
6,6,72140978
6,6,73189147
6,6,73015724
6,6,71396847
6,6,73512793
6,6,73045669
6,6,71234442
6,6,72685680
6,6,72630625
6,6,72909384
6,6,72564907
6,6,72712970
6,6,72936626
6,6,72825670
6,6,73207447
6,6,73364855
6,6,73152057
6,6,72897888
6,6,72651008
6,6,72899944
6,6,71992240
6,6,72225307
6,6,72720448
6,6,72806860
6,6,72542835
6,6,72954472
6,6,73196678
6,6,73316240
6,6,72379354
6,6,72626537
6,6,73281879
6,6,73274467
6,6,73119491
6,6,73277326
6,6,72937632
6,6,73542916
6,6,72436297
6,6,72843530
6,6,73157069
6,6,73005329
6,6,72469167
6,6,73178240
6,6,73117771
6,6,72835443
6,6,73427003
6,6,73256056
6,6,72579257
6,6,72961972
6,6,73467791
6,6,73178499
6,6,72768132
6,6,72783344
6,6,73013237
6,6,72744779
6,6,73238226
6,6,73433817
6,6,72658859
6,6,72686220
6,6,73280787
6,6,73307646
6,6,73288648
6,6,72995327
6,6,73267673
6,6,73399634
6,6,72886241
6,6,72555801
6,6,72890861
6,6,72803575
6,6,72826559
6,6,73173530
6,6,72994124
6,6,73074519
6,6,72994188
6,6,73267388
6,6,72708756
6,6,72940002
6,6,72746267
6,6,72921959
6,6,72520106
6,6,72811926
6,6,72913104
6,6,73332025
6,6,72952959
6,6,73177921
6,6,73265439
6,6,72421780
6,6,72911900
6,6,73274488
6,6,73493378
6,6,72849898
6,6,72998968
6,6,73458511
6,6,72384004
6,6,73066983
6,6,73224820
6,6,73255105
6,6,73189445
6,6,72822298
6,6,72633124
6,6,72912741
6,6,72954490
6,6,73697076
6,6,72957274
6,6,72936307
6,6,73910244
6,6,72810760
6,6,72881131
6,6,72824280
6,6,73495561
6,6,73088641
6,6,72875028
6,6,73455580
6,6,72091896
6,6,72941275
6,6,73353101
6,6,73138364
6,6,73652659
6,6,72364470
6,6,73075523
6,6,73047101
6,6,73478358
6,6,73201319
6,6,75610711
6,6,72994644
6,6,73340599
6,6,72209049
6,6,73180100
6,6,73532922
6,6,73320527
6,6,72754245
6,6,72433357
6,6,72952957
6,6,73052286
6,6,73116069
6,6,73234469
6,6,73280108
6,6,73592919
6,6,73300094
6,6,73165941
6,6,72817412
6,6,73197081
6,6,73219612
6,6,72813068
6,6,73156492
6,6,72521526
6,6,72936824
6,6,72643574
6,6,73144505
6,6,72821094
6,6,72818931
6,6,73336443
6,6,73315477
6,6,73647822
6,6,72661039
6,6,72886598
6,6,73088033
6,6,72221817
6,6,73691561
6,6,73650906
6,6,73815661
6,6,72534588
6,6,73091251
6,6,73357913
6,6,73556205
6,6,72386842
6,6,73105639
6,6,72997112
6,6,72620019
6,6,73437099
6,6,73495730
6,6,73726816
6,6,72857948
6,6,73416856
6,6,72915110
6,6,73333792
6,6,72975511
6,6,73079938
6,6,72821207
6,6,73025764
6,6,73593014
6,6,73393926
6,6,73069331
6,6,73349065
6,6,72866594
6,6,73164720
6,6,73249594
6,6,73158990
6,6,73178797
6,6,73409533
6,6,73568793
6,6,73259720
6,6,72813727
6,6,73536536
6,6,73042399
6,6,73691958
6,6,72142611
6,6,73683862
6,6,72979913
6,6,72335629
6,6,73159038
6,6,73897186
6,6,73438818
6,6,73452688
6,6,72914532
6,6,73072035
6,6,72855028
